Название вакансии,название компании,зарплата,ссылка на вакансию
Web - программист,ООО РОСТСАЙТ,от 100 000 ₽ на руки,https://togliatti.hh.ru/vacancy/97709288?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ГБУЗ СО Тольяттинская городская поликлиника № 2,от 27 000 ₽ до вычета налогов,https://togliatti.hh.ru/vacancy/99274494?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,Тольяттинский государственный университет,до 141 000 ₽ до вычета налогов,https://togliatti.hh.ru/vacancy/77190779?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик,ООО ДИТЕК,от 50 000 ₽ до вычета налогов,https://togliatti.hh.ru/vacancy/97690207?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ГБУЗ СО ТСП № 3,от 30 000 ₽ до вычета налогов,https://togliatti.hh.ru/vacancy/98039817?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик,ООО Советник,от 50 000 ₽ на руки,https://togliatti.hh.ru/vacancy/98347937?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик,ООО Айкью Групп,от 50 000 ₽ на руки,https://togliatti.hh.ru/vacancy/96819045?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,СРООЗПП Региональная Общественная Система Контроля,от 50 000 ₽ на руки,https://togliatti.hh.ru/vacancy/96722008?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С: УНФ,ООО Автопродукт,80 000 – 120 000 ₽ до вычета налогов,https://togliatti.hh.ru/vacancy/98354456?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Scala / Java Developer (junior),Квартплата 24,50 000 – 90 000 ₽ до вычета налогов,https://togliatti.hh.ru/vacancy/97139835?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
